list,serial,code_1951,name_roman,name_nagri,area_acres,houses,households,persons,males,females,census_2011,status_2011,project_slug
populated,56,146,Kakar Ichchha,काकड़ इछा,3117,1,1,5,2,3,69283,lunkaransar_2011,
populated,57,76,Kakarwara,काकड़ वाला,13425,79,81,412,232,180,69297 Kankarwala,lunkaransar_2011,
populated,58,145,Kal kal Muklera,कलकल मुकलेरा,3567,1,1,7,4,3,69284,lunkaransar_2011,
populated,59,158,Kalu,कालू,32910,523,531,2736,1322,1414,69323,lunkaransar_2011,
populated,60,149,Kalwas,कालवास,5713,28,28,146,82,64,69316,lunkaransar_2011,
populated,61,46,Kankralia,कंकरालिया,5323,1,1,3,2,1,,not_in_2011,kankraliyo
populated,62,10,Kanolai,कानोलाई,33147,104,111,546,289,257,,not_in_2011,kanolai
populated,63,104,Kapurisar,कपुरीसर,12112,104,148,638,355,283,69310,lunkaransar_2011,
populated,64,156,Karnisar,करनीसर,759,106,6,36,22,14,69335 Bas Karnisar?,lunkaransar_2011,
populated,65,62,Kela,केला,35479,151,151,732,424,308,Chhatargarh 69833 Kelan,moved_tehsil,
populated,66,36,Khanisar,खानीसर,9767,76,80,360,197,163,,not_in_2011,khanisar
populated,67,171,Khapharsar,खाफरसर,2667,8,8,80,36,44,69338,lunkaransar_2011,
populated,68,142,Khari,खारी,7134,88,102,416,205,211,69280,lunkaransar_2011,
populated,69,3,Kharwara,खारवारा,32611,50,76,283,154,129,,not_in_2011,
populated,70,49,Khiana,खीयाना,8338,12,12,47,26,21,,not_in_2011,khiyana
populated,71,70,Khilerian,खीलेरीयां,6561,43,44,284,160,124,69242,lunkaransar_2011,
populated,72,124,Khimeran,खीमेरां,4743,90,90,525,266,259,,not_in_2011,
populated,73,79,Khokharana,खोखराना,12621,87,92,471,248,223,69241,lunkaransar_2011,
populated,74,159,Kishnasar,कीशनासर,12031,35,38,256,124,132,69315,lunkaransar_2011,
populated,75,130,Kisturia,किस्तूरीया,9952,10,10,50,26,24,69268,lunkaransar_2011,
populated,76,170,Kubia,कुबीया,3016,3,3,12,6,6,69339,lunkaransar_2011,
populated,77,143,Khujti,कुजटी,15056,59,59,293,142,151,69281,lunkaransar_2011,
populated,78,25,Kumbhana,कुंभाना,23488,189,189,783,428,355,,not_in_2011,kumbhana
populated,79,37,Khumbhasar,कुम्भासर,4002,15,16,94,49,45,,not_in_2011,kumbhasar
populated,80,61,Kunda,कुन्डा,11403,3,3,15,10,5,Chhatargarh 69838,moved_tehsil,
populated,81,54,Ladera,लाडेरा,6230,18,18,103,60,43,,not_in_2011,ladera
populated,82,11,Lakhansar,लाखनसर,7593,19,21,100,50,50,Chhatargarh 69793,moved_tehsil,
populated,83,57,Lakhawar,लखावर,7593,19,19,170,85,85,69244,lunkaransar_2011,
populated,84,75,Lakhmi Narainsar,लखमीनारायनसर,2402,38,38,218,107,111,69235 Laxminarayansar,lunkaransar_2011,
populated,85,31,Lakhor Bari,लाखोर बड़ी,9707,16,16,90,45,45,,not_in_2011,lakhor-moti
populated,86,32,Lakhor Chhoti,लाखोर छोटी,2890,9,9,46,25,21,,not_in_2011,lakhor-chhoti
populated,87,122,Lalera,लालेरा,3579,8,8,51,31,20,69252 Laleran,lunkaransar_2011,
populated,88,83,Lalera Patta,लालेरा पट्टा,3279,6,6,51,20,31,69226 Lalera Patta Mahajan,lunkaransar_2011,
populated,89,29,Lakhmi Narainsar,लखमीनारायनसर,4515,15,15,91,50,41,,not_in_2011,likhmisar?
populated,90,18,Mahadeowali,महादेववाली,22208,43,52,450,247,203,,not_in_2011,
populated,91,93,Mahajan,महाजन,26800,297,302,1289,675,614,69228,lunkaransar_2011,
populated,92,65,Makrasar,मकडासर,8112,76,76,446,242,204,69247,lunkaransar_2011,
populated,93,105,Malkisar,मालकीसर,17371,91,91,459,251,208,69304,lunkaransar_2011,
populated,94,164,Manaparsar,मनापारसर,3377,39,41,230,124,106,69325,lunkaransar_2011,
populated,95,26,Maneran,मनेरां,17906,76,76,382,212,170,,not_in_2011,manera
populated,96,79,Manoharia,मनोहरिया,11266,42,42,302,157,145,69232,lunkaransar_2011,
populated,97,133,Mehrana,मेहराना,2970,12,12,57,29,28,69273 Maharana,lunkaransar_2011,
populated,98,38,Meusar,मेउसर,4619,42,43,229,132,97,,not_in_2011,meusar
populated,99,85,Mithria,मिठडीया,9800,37,37,144,85,59,69210,lunkaransar_2011,
populated,100,94,Mohkampura,मोहकमपुरा,7579,17,18,113,59,54,69299,lunkaransar_2011,
populated,101,20,Motasar,मोटासर,32887,57,62,279,132,147,,not_in_2011,motasar
populated,102,56,Motolai,मोटोलाई,12413,39,44,329,172,157,,not_in_2011,motlai
populated,103,127,Mukleran,मुकलेरां,1475,5,5,20,10,10,69264 Doodimuklera?,lunkaransar_2011,
populated,104,67,Musalki,मुसलकी,3020,20,20,83,47,36,69249,lunkaransar_2011,
populated,105,173,Nakodesar,नकोदेसर,6694,5,5,230,127,103,69340,lunkaransar_2011,
populated,106,28,Nakrasar,नाकरासर,7802,9,9,71,45,26,,not_in_2011,nakrasar
populated,107,157,Nathusar,नाथुसर,5541,7,16,73,38,35,69333,lunkaransar_2011,
populated,108,160,Nathwana,नाथवाना,6935,92,100,588,297,291,69313,lunkaransar_2011,
populated,109,162,Pancharan @ Amarpura,पंचारा उर्फ अमरपुरा,11227,53,53,283,164,119,69327,lunkaransar_2011,
populated,110,112,Phuldesar,फुलदेसर,4895,58,58,327,200,127,69290 Chak Phooldesar?,lunkaransar_2011,
populated,111,34,Phuleji,फलेजी,7519,44,45,231,123,108,69203,lunkaransar_2011,
populated,112,107,Pperan,पिपेरान,3362,80,80,309,192,117,69295 Peepera,lunkaransar_2011,
populated,113,21,Raimalwali,रायमल वाली,26319,39,41,275,154,121,,not_in_2011,raimalwali
populated,114,166,Rajasar @ Karnisar,राजासर उर्फ करनीसर,12240,98,98,538,281,257,69329,lunkaransar_2011,
populated,115,60,Rajasar @ Bhatiyan,राजासर उर्फ भाटीयान,36810,108,108,415,258,157,Chhatargarh 69841,moved_tehsil,
populated,116,165,Rajpuria @ Hudan,राजपुरीया उर्फ हुडान,8890,55,55,257,130,127,69324,lunkaransar_2011,
populated,117,98,Rambag,रामबाग,3748,47,47,306,173,133,69223,lunkaransar_2011,
populated,118,33,Rampura,रामपुरा,7589,17,17,126,69,57,,not_in_2011,rampura
populated,119,41,Ramsar,रामसर,5587,19,19,117,67,50,69206 Ramsara,lunkaransar_2011,
populated,120,87,Ranisar,रानीसर,3262,16,16,100,55,45,69220,lunkaransar_2011,
populated,121,14,Raner,रानेर,60137,55,63,297,174,123,Chhatargarh 69797,moved_tehsil,
populated,122,155,Rahwasar,राहवासर,4154,23,29,173,94,79,69336 Rawansar,lunkaransar_2011,
populated,123,82,Ratnisar,रतनीसर,5102,17,17,108,49,59,69227,lunkaransar_2011,
populated,124,113,Rojhan,रोजां,6291,39,39,258,142,116,69289,lunkaransar_2011,
populated,125,98,Sabnia,साबनीया,764,53,57,390,211,179,69212,lunkaransar_2011,
populated,126,134,Saderan,सादेरां,3955,7,7,45,24,21,69274,lunkaransar_2011,
populated,127,19,Sadolai,साडोलाई,13695,84,58,295,157,138,Chhatargarh 69837,moved_tehsil,
populated,128,63,Sardarpura,सरदारपुरा,22013,19,19,76,45,31,Chhatargarh 69832,moved_tehsil,
populated,129,15,Sansardesar,संसारदेसर,13947,17,22,142,73,69,Chhatargarh 69807,moved_tehsil,
populated,130,111,Seniwala,सनीवाला,5577,19,19,117,69,48,69291 Sehniwala,lunkaransar_2011,
populated,131,144,Shehjarasar,सेहजरासर,20015,160,160,785,415,370,69319,lunkaransar_2011,
populated,132,103,Shekhsar,शेखसर,22753,204,207,1057,509,548,69309,lunkaransar_2011,
populated,133,96,Sherpura,शेरपुरा,30193,119,136,760,390,370,69217,lunkaransar_2011,
populated,134,128,Sodhwali,सोढवाली,13240,52,52,331,191,140,69266,lunkaransar_2011,
populated,135,68,Subhalai,सुभलाई,4794,43,43,254,132,122,69243 Shobholai,lunkaransar_2011,
populated,136,50,Sulera,सुलेरा,6451,16,16,97,49,48,69234 Soolera,lunkaransar_2011,
populated,137,100,Suni,सूनी,23965,78,101,498,244,254,69305 Suin,lunkaransar_2011,
populated,138,141,Surnana,सुरनाणा,8246,76,77,496,262,234,69282,lunkaransar_2011,
populated,139,4,Takhatpura,तखतपुरा,7983,16,17,100,54,46,Chhatargarh 69784,moved_tehsil,
populated,140,99,Taliwala,टालीवाला,6701,15,17,123,57,66,69215,lunkaransar_2011,
populated,141,27,Thoiyan,थोइयां,12705,44,45,239,141,98,,not_in_2011,thoiya
populated,142,150,Uchrangdesar,उचरंगदेसर,4308,24,24,121,67,54,69317,lunkaransar_2011,
populated,143,110,Udana,ऊदाना,7589,6,6,43,22,21,69292,lunkaransar_2011,
populated,144,139,Udesian,उदेसीयां,2399,16,16,86,40,46,69257,lunkaransar_2011,
populated,145,117,Unchairo,उंचैडो,3711,8,8,32,17,15,69256,lunkaransar_2011,
populated,146,136,Uttamdesar,उत्तमदेसर,8036,55,17,255,131,124,69270,lunkaransar_2011,
unpopulated,1,2,Sherpura Thikana khar bara,,,,,,,,,,
unpopulated,2,23,Rekh Cholana,,,,,,,,,,kolana?
unpopulated,3,24,Bhana Basti,,,,,,,,,,bhanabasti
unpopulated,4,35,Chad Jhod,,,,,,,,,,chakdo?
unpopulated,5,40,Jagat Singhpura,,,,,,,,,,
unpopulated,6,42,Chak Asrasar,,,,,,,,,,
unpopulated,7,45,Shodan Pura,,,,,,,,,,
unpopulated,8,52,Rekh Megana,,,,,,,,,,
unpopulated,9,53,Rekh Ajitmana,,,,,,,,,,ajeetwana
unpopulated,10,59,Karmali,,,,,,,,,,
unpopulated,11,77,Tejana,,,,,,,,,,
unpopulated,12,84,Chak Bhawaria,,,,,,,,,,
unpopulated,13,88,Chak Arjansar,,,,,,,,,,
unpopulated,14,89,Suraj Pura,,,,,,,,,,
unpopulated,15,90,Ranjitpura,,,,,,,,,,
unpopulated,16,95,Bidsangrev,,,,,,,,,,
unpopulated,17,106,Bham Malkisar,,,,,,,,,,
unpopulated,18,114,Bajawas,,,,,,,,,,
unpopulated,19,116,Hamirwas,,,,,,,,,,
unpopulated,20,118,Sareh Netawas,,,,,,,,,,
unpopulated,21,119,Sareh Buchawas,,,,,,,,,,
unpopulated,22,120,Sareh Bichhalwas,,,,,,,,,,
unpopulated,23,121,Khatiawas,,,,,,,,,,
unpopulated,24,123,Bhogiya,,,,,,,,,,
unpopulated,25,153,Bhanipura,,,,,,,,,,
