cd_block,sr_no,village_name,location_code_2011,Total area of the village ( in hectares rounded up to  one decimal place),Total population ( 2011 census ),Number of households (2011 census),"Number of educational amenities available. (If not available within the village , the distance range  code  viz;  a for < 5 Kms, b for 5-10 Kms and c for 10+ kms of nearest place where  facility is available is given). / Pre-Primary school (PP)",Primary school (P),Middle school (M),Secondary School (S),Senior Secondary school (SS),Degree college of arts  science & commerce  (ASC),Engineering college(EC),Medical college (MC),Management institute (MI),Polytechnic (Pt),Vocational training school /ITI,Non-formal training centre (NFTC),Special school for disabled (SSD),Others (specify),"Number of Medical Amenities available. (If not available within the village , the distance range  code  viz;  a for < 5 Kms, b for 5-10 Kms and c  for 10+ kms of nearest place where  facility is available is given). / Community health centre (CHC)",Primary health centre (PHC),Primary health sub centre (PHS),Maternity and child welfare centre (MCW),T.B. clinic  (TBC),Hospital-allopathic (HA),Hospital-alternative  medicine (HO),Dispensary (D),Veterinary hospital (VH),Mobile health clinic (MHC),Family welfare centre (FWC),Number of Non-Government Medical Amenities available. / Charitable non Govt. hospital/Nursing home.,Medical practitioner with MBBS Degree,Medical practitioner with other  degree,Medical practitioner with no degree,Traditional practitioner  and faith healer .,Medicine Shop,Others,Availability of drinking water - Yes / No / Tap water (Treated/Untreated),Well  water    (Covered / Uncovered well),Hand Pump,Tube wells / Bore well,Spring,River / Canal,Tank / Pond /  Lake,Others,Availability of toilet & others Yes / No / Community toilet including  bath.,Community toilet excluding bath.,Rural  sanitary mart or sanitary  hardware outlet available near the village.,Community bio- gas or recycle of waste for productive use.,"Communication  and transport facilities  (If  amenities available  code -Yes is given except for Village Pin Code ,If not available within the village ,  the distance range  code  viz; a for < 5 Kms, b for 5-10 Kms and c  for 10+ kms of nearest place where facility is available is given). / Post office(PO)",Sub post office (SPO),Post & Telegraph office   (P&TO),Village Pin Code,Telephones      (Land lines),Public call office (PCO),Mobile phone coverage,Internet cafes/ Common service centre (CSC),Private courier facility,Bus service  (Public & Private),Railway stations,Auto/Modified Autos,Taxis and Vans,Tractors,Cycle-pulled rickshaws(Manual & Machine driven),Carts driven by animals,Sea /River ferry service,"Village connected to highways,village  roads, banks & credit societies  (If  amenities available  code -Yes is given, If not available within the village ,  the distance range  code  viz;  a for < 5 Kms, b for 5-10 Kms and c  for 10+ kms of nearest place where facility is available is given). / Connected to national highway(NH)",Connected to state highway(SH),Connected to major district road (MDR),Connected to others district road,Pucca  roads,Kutchcha  roads,Water bounded macadam(WBM) roads,Navigable waterway (river/canal)(NW),Footpaths (FP),Commercial & Co-operative Banks,ATM,Agricultural Credit Societies,"Availability of  miscellaneous facilities (If  amenities available  code -Yes is given, If not available within the village , the distance range  code viz;  a  for < 5 Kms, b   for 5-10 Kms and c   for 10+ kms of nearest place where facility is available is given). / Self-Help Group (SHG)",Public distribution system (PDS) shop,Mandis / Regular market,Weekly Haat,Agricultural marketing society,Integrated Child Development Scheme (Nutritional Centres),Anganwadi Centre (Nutritional Centres),Others (Nutritional Centres),ASHA (Accredited Social Health Activist),Community centre with/without TV,"Sports Field,",Sports Club / Recreation Centre,Cinema / Video Hall,Public Library,Public Reading Room,Newspaper Supply,Assembly Polling station,Birth & Death Registration Office,Availability of electricity (Yes/No) / Power Supply for Domestic Use (ED),Power Supply for Agricultural Use (EAG),Power Supply for Commercial Use (EC),Power Supply for All Uses (EA),Land Use / Nearest Town / Name,"Distance range code  i.e.  a  for < 5 Kms, b  for 5-10 Kms and c   for 10+ kms .",Area under different types of land use ( in hectares rounded up to one decimal place) / Forests,Area under Non-agricultural Uses,Barren and Un-cultivable land,Permanent Pastures and Other Grazing Lands,Land Under Miscellaneous Tree Crops etc.,Culturable Waste Land,Fallow lands other than current fallows,Current Fallows,Net Area Sown,Total Irrigated Land Area,Total Un-irrigated Land Area,Area irrigated by source (in hectare). / Canals ( C ),Wells/Tube-wells(W/TW),Tanks/Lakes(T/L),Water Falls(WF),Others(O),Name of three most important commodities manufactured / First,Second,Third,Name of Village,Serial Number
Khajuwala,183.0,Bhanipura,069201,17470.9,1574.0,263.0,1.0,2.0,c,c,c,c,c,c,c,c,c,c,c,,c,c,c,c,c,c,c,c,c,c,c,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Yes,Yes,No,No,No,Yes,No,Yes,No,No,No,No,c,Yes,c,334001.0,Yes,Yes,Yes,c,c,Yes,c,c,Yes,Yes,,Yes,,c,c,c,Yes,c,Yes,Yes,,Yes,c,c,c,c,Yes,c,c,c,Yes,Yes,Yes,Yes,Yes,Yes,c,c,c,c,Yes,Yes,a,Yes,Yes,No,No,BIKANER,c,0.0,527.4,0.0,0.0,0.0,13100.0,0.0,1972.7,1870.9,0.0,1870.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Bhanipura,183.0
Lunkaransar,265.0,Mahajan Fieldfiring Range,069202,136406.0,2.0,1.0,c,c,c,c,c,c,c,c,c,c,,,c,,c,c,c,c,c,c,c,c,c,c,c,0.0,0.0,0.0,0.0,0.0,0.0,0.0,No,No,No,No,No,No,No,Yes,No,No,No,No,c,c,c,334604.0,c,c,b,c,c,c,c,c,c,c,,Yes,,c,c,c,c,c,Yes,c,,Yes,c,c,c,c,c,c,c,c,b,b,Yes,b,c,c,c,c,c,c,c,b,b,No,No,No,No,BIKANER,c,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Mahajan Fieldfiring Range,265.0
Lunkaransar,266.0,Phooleji,069203,1945.9,2153.0,319.0,1.0,2.0,1.0,1.0,c,c,c,c,c,c,c,c,c,,c,c,c,c,c,c,c,c,c,c,c,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Yes,No,No,No,No,Yes,Yes,Yes,No,No,No,No,c,Yes,c,334604.0,Yes,Yes,Yes,c,c,Yes,c,Yes,Yes,Yes,,Yes,,c,c,c,Yes,Yes,Yes,Yes,,Yes,c,c,c,c,Yes,Yes,c,c,Yes,Yes,Yes,Yes,Yes,Yes,c,c,c,c,Yes,Yes,b,Yes,No,No,No,SURATGARH,c,0.0,51.4,0.0,51.5,0.0,207.0,34.2,1354.8,247.0,30.1,216.9,30.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Phooleji,266.0
Lunkaransar,267.0,Chak Jor,069204,1979.4,1422.0,221.0,b,1.0,1.0,b,b,c,c,c,c,c,c,c,c,,c,c,1.0,c,c,c,c,c,c,c,c,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Yes,No,Yes,Yes,No,No,No,Yes,No,No,No,No,c,b,c,334604.0,b,b,Yes,Yes,c,a,b,b,Yes,Yes,,Yes,,c,b,b,Yes,Yes,Yes,Yes,,Yes,c,c,c,b,Yes,b,b,c,Yes,Yes,Yes,Yes,Yes,Yes,c,c,c,c,Yes,Yes,Yes,Yes,No,No,No,SURATGARH,c,0.0,92.1,0.0,0.0,0.0,29.1,21.4,618.8,1218.0,151.5,1066.6,151.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Chak Jor,267.0
Lunkaransar,268.0,Chak Asrasar,069205,530.1,425.0,62.0,b,b,b,b,b,c,c,c,c,c,c,c,c,,c,c,c,c,c,c,c,c,c,c,c,0.0,0.0,0.0,0.0,0.0,0.0,0.0,No,No,Yes,Yes,No,No,No,No,No,No,No,No,c,b,c,334604.0,b,b,Yes,c,b,b,b,b,b,Yes,,Yes,,b,b,b,Yes,b,Yes,Yes,,Yes,b,c,b,b,a,b,b,c,Yes,Yes,Yes,Yes,b,b,c,c,c,c,c,a,a,Yes,No,No,No,SURATGARH,c,0.0,33.8,0.0,0.0,0.0,68.0,82.4,122.8,223.0,39.5,183.5,39.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Chak Asrasar,268.0
Lunkaransar,289.0,Lalera Patta Mahajan,069226,1327.3,492.0,81.0,b,b,b,b,c,c,c,c,c,c,c,c,c,,c,c,a,c,c,c,c,c,c,c,c,0.0,0.0,0.0,0.0,0.0,0.0,0.0,No,No,No,No,No,No,Yes,No,No,No,No,No,c,a,c,334604.0,Yes,c,Yes,c,c,Yes,c,c,c,Yes,,Yes,,a,Yes,Yes,Yes,a,Yes,Yes,,Yes,c,c,c,c,c,c,c,c,Yes,Yes,Yes,Yes,c,c,c,c,c,c,c,a,b,Yes,Yes,Yes,Yes,SURATGARH,c,0.0,49.0,0.0,26.1,0.0,126.1,227.0,25.0,874.0,0.0,874.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Lalera Patta Mahajan,289.0
Lunkaransar,291.0,Mahajan,069228,10852.4,7397.0,1224.0,3.0,7.0,4.0,4.0,1.0,1.0,c,c,c,c,c,c,c,,c,1.0,1.0,1.0,1.0,c,1.0,1.0,1.0,c,1.0,0.0,1.0,1.0,0.0,1.0,2.0,0.0,Yes,Yes,No,No,No,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,334604.0,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,c,Yes,Yes,Yes,Yes,c,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,c,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,BIKANER,c,271.2,542.1,0.0,399.0,0.0,3482.2,1030.1,926.1,4201.8,74.4,4127.3,74.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Mahajan,291.0
Lunkaransar,303.0,Beermana,069240,1542.0,429.0,77.0,b,b,b,c,c,c,c,c,c,c,c,c,c,,c,c,b,c,c,c,c,c,c,c,c,0.0,0.0,0.0,0.0,0.0,0.0,0.0,No,No,No,No,No,No,No,No,No,No,No,No,c,b,c,334603.0,c,c,Yes,c,c,b,c,c,c,Yes,,Yes,,c,c,c,Yes,b,Yes,Yes,,Yes,c,c,c,c,b,c,c,c,Yes,Yes,Yes,Yes,c,c,c,c,b,b,c,a,b,Yes,No,No,No,BIKANER,c,0.0,59.0,0.0,0.0,0.0,270.0,45.0,125.0,1043.0,0.0,1043.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Beermana,303.0
Lunkaransar,308.0,Ajeetmana,069245,1617.0,1239.0,188.0,1.0,2.0,2.0,1.0,c,c,c,c,c,c,c,c,c,,c,c,1.0,c,c,c,c,c,c,c,c,0.0,0.0,0.0,0.0,0.0,0.0,0.0,No,No,No,No,No,No,Yes,No,No,No,No,No,c,Yes,c,334603.0,Yes,Yes,Yes,Yes,c,Yes,c,c,Yes,Yes,,Yes,,c,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,c,c,b,b,Yes,c,c,c,Yes,Yes,Yes,Yes,Yes,Yes,c,c,c,c,Yes,Yes,Yes,Yes,No,No,No,BIKANER,c,0.0,76.0,0.0,146.0,0.0,186.0,37.0,10.0,1162.0,0.0,1162.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Ajeetmana,308.0
