State_Code,State_Name,District ,District _Name,Tehsil_Code,Tehsil_Name,Block_Code,Naya Panchayat_Code,Village_Code,NAME,Level,AREA,RES_HOUSE,HOUSEHOLDS,T_POPLN,T_M_POPLN,T_F_POPLN,POPLN_M6,POPLN_F6,M_SC,F_SC,M_ST,F_ST,M_LITERATE,F_LITERATE,T_M_WORKER,T_F_WORKER,M_INDCAT1,F_INDCAT1,M_INDCAT2,F_INDCAT2,M_INDCAT3,F_INDCAT3,M_INDCAT4,F_INDCAT4,M_INDCAT5A,F_INDCAT5A,M_INDCAT5B,F_INDCAT5B,M_INDCAT6,F_INDCAT6,M_INDCAT7,F_INDCAT7,M_INDCAT8,F_INDCAT8,M_INDCAT9,F_INDCAT9,M_MARGINAL,F_MARGINAL,M_NON_WORK,F_NON_WORK
21,Rajasthan,'02,Bikaner,'0020,LUNKARANSAR(FULL),'0020,'0020,'0098,KALKAL MUKLERA,Rural,1449.08,3,3,18,9,9,2,0,1,2,0,0,4,0,4,1,3,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,4,6
21,Rajasthan,'02,Bikaner,'0020,LUNKARANSAR(FULL),'0020,'0020,'0099,KAKAR ICHCHHA,Rural,1269.83,3,3,10,7,3,0,0,0,0,0,0,2,0,7,0,2,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0
21,Rajasthan,'02,Bikaner,'0020,LUNKARANSAR(FULL),'0020,'0020,'0100,JAKHAR WALA,Rural,1219.53,11,11,55,32,23,4,4,0,0,0,0,19,8,13,8,8,3,0,0,2,5,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,19,15
21,Rajasthan,'02,Bikaner,'0020,LUNKARANSAR(FULL),'0020,'0020,'0101,LUNKARANSAR,Rural,10498.32,2514,2532,15876,8685,7191,1779,1699,1227,1056,18,24,4185,1843,4318,452,1592,231,517,130,51,2,5,0,145,14,337,3,201,9,797,11,118,1,555,51,32,355,4335,6384
21,Rajasthan,'02,Bikaner,'0020,LUNKARANSAR(FULL),'0020,'0020,'0102,PHOOLDESAR SINGAS,Rural,2227.99,81,82,530,285,245,68,65,31,22,0,0,87,11,120,1,120,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,165,244
21,Rajasthan,'02,Bikaner,'0020,LUNKARANSAR(FULL),'0020,'0020,'0103,ROJHAN,Rural,2567.52,201,203,1516,799,717,198,176,106,82,0,0,135,10,401,37,376,36,22,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,2,398,678
21,Rajasthan,'02,Bikaner,'0020,LUNKARANSAR(FULL),'0020,'0020,'0104,SEHNIWALA,Rural,2257.01,178,198,1432,761,671,158,172,177,152,0,0,204,29,421,281,343,235,68,45,1,1,0,0,1,0,2,0,3,0,1,0,0,0,2,0,0,0,340,390
21,Rajasthan,'02,Bikaner,'0020,LUNKARANSAR(FULL),'0020,'0020,'0105,UDANA,Rural,2671.43,182,184,1261,651,610,149,162,155,130,0,0,154,18,331,127,311,113,14,6,4,7,0,0,0,0,0,0,0,0,1,1,0,0,1,0,14,41,306,442
21,Rajasthan,'02,Bikaner,'0020,LUNKARANSAR(FULL),'0020,'0020,'0106,KANKARWALA,Rural,5996.44,180,182,1400,724,676,161,161,144,131,1,2,158,14,410,0,366,0,0,0,30,0,0,0,5,0,0,0,1,0,3,0,3,0,2,0,3,152,311,524
21,Rajasthan,'02,Bikaner,'0020,LUNKARANSAR(FULL),'0020,'0020,'0107,TEJANA,Rural,1571.99,55,55,350,195,155,45,39,14,14,0,0,8,0,117,3,117,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,78,152
