1264541	Madiali	Madiali		28.7072	73.30617	P	PPL	IN		24	101	479		0		186	Asia/Kolkata	2024-01-06
1264667	Lūnkaransar	Lunkaransar	LKS,Lunkaransar,Lūnkaransar	28.4973	73.74939	S	RSTN	IN		24	101	475		0		192	Asia/Kolkata	2024-01-06
1264668	Lūnkaransar	Lunkaransar	Lunkaransar,Lūnkaransar,Sar	28.50128	73.75525	P	PPL	IN		24	101	475		0		193	Asia/Kolkata	2024-01-06
1265223	Lakhusar	Lakhusar		28.33048	73.19194	P	PPL	IN		24	101	473		0		186	Asia/Kolkata	2024-01-06
1265776	Kuināna	Kuinana		28.72158	73.60013	P	PPL	IN		24	101	475		0		205	Asia/Kolkata	2024-01-06
1266777	Khera	Khera		28.47752	73.56325	P	PPL	IN		24	101	475		0		221	Asia/Kolkata	2024-01-06
1266921	Khāri	Khari		28.34155	73.63796	P	PPL	IN		24	101	475		0		195	Asia/Kolkata	2024-01-06
1266949	Kharbara	Kharbara		28.94227	73.41296	P	PPL	IN		24	101	479		0		173	Asia/Kolkata	2024-01-06
1267126	Khāl	Khal	Khai,Khal,Khāi,Khāl	29.08819	73.36518	P	PPL	IN		24	099	462		0		158	Asia/Kolkata	2024-01-06
1267326	Kelasar	Kelasar		28.46384	73.25922	P	PPL	IN		24	101	479		0		197	Asia/Kolkata	2024-01-06
1267679	Karru	Karru		29.09059	73.94601	P	PPL	IN		24	099	465		0		196	Asia/Kolkata	2024-01-06
1267697	Karnisar	Karnisar		28.34302	73.05466	P	PPL	IN		24	101	474		0		179	Asia/Kolkata	2024-01-06
1267913	Kapūrīsar	Kapurisar	Kapurisar,Kapūrisar,Kapūrīsar	28.64282	73.92271	P	PPL	IN		24	101	475		0		200	Asia/Kolkata	2024-01-06
1268064	Kanhor	Kanhor		29.24579	74.13008	P	PPL	IN		24	099	465		0		181	Asia/Kolkata	2024-01-06
1268316	Kālu	Kalu		28.37957	73.89184	P	PPL	IN		24	101	475		0		207	Asia/Kolkata	2024-01-06
1268421	Kaliānkot	Kaliankot		29.27427	73.60034	S	RSTN	IN		24	099	464		0		167	Asia/Kolkata	2024-01-06
1268454	Kālasar	Kalasar		28.37367	73.3076	P	PPL	IN		24	101	473		0		191	Asia/Kolkata	2024-01-06
1268539	Kakrāla	Kakrala		28.61173	72.97551	P	PPL	IN		24	101	479		0		155	Asia/Kolkata	2024-01-06
1269061	Jetsar	Jetsar		29.34496	73.66216	S	RSTN	IN		24	099	464		0		163	Asia/Kolkata	2024-01-06
1269160	Jasuntsar	Jasuntsar		28.87547	73.78802	P	PPL	IN		24	101	475		0		208	Asia/Kolkata	2024-01-06
1269483	Jaitpur	Jaitpur		28.87696	74.06428	P	PPL	IN		24	101	475		0		197	Asia/Kolkata	2024-01-06
1269576	Jagdiala	Jagdiala		28.35	73.48333	S	RSTN	IN		24	101	475		0		194	Asia/Kolkata	2024-01-06
1270024	Hisamki	Hisamki		29.07213	73.04735	P	PPL	IN		24	099	462		0		150	Asia/Kolkata	2024-01-06
1270213	Hāthusar	Hathusar		28.94452	73.57311	P	PPL	IN		24	101	475		0		183	Asia/Kolkata	2024-01-06
1270374	Hardāswāli	Hardaswali		29.20927	73.72929	P	PPL	IN		24	099	465		0		171	Asia/Kolkata	2024-01-06
1270954	Gopālsar	Gopalsar		29.05679	73.65342	P	PPL	IN		24	099	465		0		188	Asia/Kolkata	2024-01-06
1271006	Gomewāli	Gomewali		29.04278	73.43961	P	PPL	IN		24	099	464		0		162	Asia/Kolkata	2024-01-06
1271500	Gharsīsar	Gharsisar	Garsisar,Gharsisar,Gharsīsar	28.41785	74.19902	P	PPL	IN		24	102	483		0		231	Asia/Kolkata	2024-01-06
1271593	Gārabdesar	Garabdesar	Garabdenar,Garabdesar,Gārabdenar,Gārabdesar	28.44222	74.01104	P	PPL	IN		24	101	475		0		214	Asia/Kolkata	2024-01-06
1271994	Eta	Eta		29.16631	74.17555	P	PPL	IN		24	100	470		0		183	Asia/Kolkata	2024-01-06
1272257	Dulmera	Dulmera	Dalmera,Dulmera	28.40924	73.65605	S	RSTN	IN		24	101	475		0		199	Asia/Kolkata	2024-01-06
1272761	Dhirera	Dhirera	DHRR,Dhirera	28.36154	73.59851	S	RSTN	IN		24	101	475		0		187	Asia/Kolkata	2024-01-06
1273060	Dhāba	Dhaba		29.01992	73.30366	P	PPL	IN		24	099	462		0		155	Asia/Kolkata	2024-01-06
1273065	Dewāsar	Dewasar		28.88095	73.47241	P	PPL	IN		24	101	475		0		184	Asia/Kolkata	2024-01-06
1273562	Dandu	Dandu		29.0781	74.15583	P	PPL	IN		24	100	7213		0		191	Asia/Kolkata	2024-01-06
1273563	Dandu	Dandu		28.88569	73.11319	P	PPL	IN		24	099	463		0		145	Asia/Kolkata	2024-01-06
1274530	Chattargarh	Chattargarh		28.67065	73.12507	P	PPL	IN		24	101	479		0		167	Asia/Kolkata	2024-01-06
1275133	Bugiān	Bugian		29.37332	73.62305	P	PPL	IN		24	099	464		0		165	Asia/Kolkata	2024-01-06
1275509	Bīrmāna	Birmana	Birmana,Birmāna,Bīrmāna	29.16701	73.72706	P	PPL	IN		24	099	465		0		175	Asia/Kolkata	2024-01-06
